id,usmle_category,correct_len,max_distractor_len,len_gap,correct_answer
969,22. Psychopharmacology,197,63,134,"After 5-7 days of antipsychotic discontinuation, antipsychotics can be cautiously restarted, preferably with a different class; rechallenge carries recurrence risk (~50%) requiring close monitoring"
194,8. Trauma- and Stressor-Related Disorders,160,27,133,AD has clear temporal stressor relationship; AD symptoms don't meet full MDD criteria; expected response exceeds stressor; duration up to 6 months post-stressor
248,8. Trauma- and Stressor-Related Disorders,198,65,133,"Grief is a normal response to loss; complicated grief (prolonged, intense, functionally impairing) requires specialized assessment and treatment to prevent long-term psychiatric and medical sequelae"
993,22. Psychopharmacology,207,74,133,"Mental health comorbidities (depression, anxiety, social isolation) are common in adolescent autism due to increased self-awareness; integrated treatment addressing both autism and mental health is essential"
295,16. Substance-Related Disorders,210,78,132,Both drugs carry severe health risks including psychiatric complications and cardiac toxicity. The distinction between natural and synthetic does not determine safety; pharmacological mechanism determines harm.
314,22. Psychopharmacology,194,62,132,"Ketamine antagonizes NMDA (N-methyl-D-aspartate) glutamate receptors, leading to disinhibition of AMPA receptors and increased synaptic plasticity, particularly affecting circuits involving BDNF"
229,18. Personality Disorders,201,70,131,"Avoidant personality disorder is characterized by social withdrawal and fear of rejection, while dependent personality disorder involves excessive reliance on others for decision-making and reassurance"
142,22. Psychopharmacology,191,62,129,"While benzodiazepines have Level A evidence for acute anxiety relief, chronic use is not recommended due to dependence potential; SSRIs and CBT are first-line for persistent anxiety disorders"
242,8. Trauma- and Stressor-Related Disorders,180,51,129,"Complicated grief (persistent complex bereavement disorder), characterized by prolonged, intense grief that persists beyond normal timeframes with significant functional impairment"
994,22. Psychopharmacology,217,88,129,These behaviors are both differences and can create functional challenges; intense interests can be channeled into learning/careers; repetitive behaviors provide emotional regulation but may interfere with transitions
999,22. Psychopharmacology,158,30,128,"Refeeding syndrome: hypophosphatemia, hypokalemia, hypomagnesemia from carbohydrate metabolism consuming phosphate/electrolytes; life-threatening if untreated"
310,16. Substance-Related Disorders,205,78,127,"Synthetic drugs have different chemical structures than their parent compounds, so standard antibodies in immunoassays do not recognize them; manufacturers continuously modify structures to evade detection"
516,20. Medication-Induced Movement Disorders,177,50,127,Akathisia is characterized by a compelling urge to move with dysphoric quality despite conscious attempts to sit still; simple agitation lacks this subjective distress component
187,"27. Forensic, Ethics, and Legal Issues",158,32,126,Competency is a legal determination made by courts; capacity is a clinical assessment made by physicians. Capacity is decision-specific; competency is global.
957,22. Psychopharmacology,183,57,126,Dynamic risk assessment with frequent reassessment is essential given BPD's characteristic mood/ideation volatility; crisis planning and accessible mental health services are critical
253,23. Psychotherapy and Non-Pharmacologic,175,54,121,"CBT is brief and focused on current symptoms through behavioral change, while psychodynamic therapy is longer-term and explores historical patterns and unconscious motivations"
269,23. Psychotherapy and Non-Pharmacologic,169,48,121,"Behavioral modification addresses underlying sleep-interfering patterns and habits, building sustainable sleep, while medication alone may not address behavioral factors"
755,7. OCD and Related Disorders,185,64,121,"Y-BOCS scores range 0-40; higher scores indicate greater severity and correlate with need for intensive treatment (pharmacotherapy + ERP, possibly residential programs for severe cases)"
719,4. Bipolar and Related Disorders,205,85,120,"Bipolar disorder is characterized by profound circadian dysfunction; sleep deprivation can trigger manic episodes (phase-advance hypothesis), and chronobiological interventions target these vulnerabilities"
987,22. Psychopharmacology,187,67,120,"Weekend medication holidays are acceptable for some patients, particularly those with lower doses; individual factors (duration, functional demands, symptom stability) guide this decision"
989,22. Psychopharmacology,181,62,119,"Antipsychotics (risperidone, aripiprazole) show FDA approval for irritability in autism; they reduce aggression and stereotyped behavior with acceptable benefit-risk in select cases"
1000,22. Psychopharmacology,191,72,119,"Standardized C-SSRS protocol adherence ensures consistent, comprehensive assessment of ideation severity, intent, and behavior history; enabling comparable risk stratification across settings"
439,22. Psychopharmacology,148,30,118,B12 supplementation via intramuscular injection or high-dose oral/sublingual supplementation due to limited plant sources and absorption variability
988,22. Psychopharmacology,183,65,118,"Autism involves atypical neural processing of sensory information; enhanced perception (hyperacusis, texture sensitivity) and reduced filtering of background stimuli are core features"
312,16. Substance-Related Disorders,215,98,117,"Legal-atypical drugs exploit regulatory gaps and chemical-modification strategies to evade legal controls, lack FDA oversight, produce unpredictable and often severe toxicity, and present constantly evolving threats"
471,"27. Forensic, Ethics, and Legal Issues",179,62,117,"All three intersect in psychiatric practice; clinicians must navigate complex interactions between constitutional protections, state statutes, and common law negligence principles"
971,22. Psychopharmacology,173,56,117,"Levodopa withdrawal syndrome (characterized by acute rigidity, hyperthermia, autonomic instability) mimics NMS; this represents dopamine insufficiency rather than antagonism"
239,24. Psychiatric Emergencies,191,75,116,"Psychiatric emergencies represent genuine crises requiring immediate comprehensive assessment, medical evaluation, and structured intervention to address potential life-threatening situations"
256,23. Psychotherapy and Non-Pharmacologic,190,74,116,"Psychotherapy includes diverse evidence-based approaches (CBT, psychodynamic, DBT, supportive therapy) tailored to the specific condition, often combined with medication for optimal outcomes"
271,23. Psychotherapy and Non-Pharmacologic,172,56,116,"Behavior, thoughts, and emotions are bidirectionally related; changing behavior often changes thoughts and emotions, while emotional change can facilitate behavioral change"
486,5. Depressive Disorders,176,60,116,"Clinical recognition and evidence-based management of SAD as a significant subtype of major depressive disorder, including neurobiological mechanisms and therapeutic approaches"
520,20. Medication-Induced Movement Disorders,157,41,116,"Recognize it as a medication side effect; consider dose reduction, alternative antipsychotics, or adjunctive treatment (e.g., beta-blockers, benzodiazepines)"
984,22. Psychopharmacology,167,51,116,"Medication alone is insufficient; structured behavioral interventions (executive coaching, time management training, organizational systems) complement pharmacotherapy"
240,24. Psychiatric Emergencies,203,88,115,"Emergency care consists of: immediate safety assessment, medical evaluation to exclude organic causes, comprehensive psychiatric evaluation, and appropriate intervention based on diagnosis and risk level"
261,23. Psychotherapy and Non-Pharmacologic,169,54,115,"Confrontation views resistance as pathology requiring direct challenge, while MI views resistance as an understandable response to explore further, not direct opposition"
152,24. Psychiatric Emergencies,177,64,113,Screening alone (assessment without linkage to appropriate intervention and follow-up) does not reduce suicide mortality; assessment must be paired with structured interventions
982,22. Psychopharmacology,178,65,113,"Stimulants can precipitate mood destabilization, anxiety, or mania in some patients; careful monitoring for mood worsening, anxiety escalation, or hypomanic features is essential"
224,3. Schizophrenia Spectrum,185,74,111,"Early identification, lower-dose antipsychotics with psychoeducation and psychosocial support, aiming to minimize untreated psychosis duration and optimize long-term functional outcomes"
931,22. Psychopharmacology,172,61,111,"Benzodiazepines carry high addiction potential and abuse risk, particularly in individuals with SUD history; use should be limited to acute withdrawal with close monitoring"
945,22. Psychopharmacology,154,43,111,"ECT is a rapid, highly effective treatment for catatonia, particularly in benzodiazepine-refractory cases or when rapid resolution is clinically necessary"
980,22. Psychopharmacology,185,74,111,Baseline and periodic blood pressure monitoring; choice of lower-dose stimulants or non-stimulants; avoidance of high-dose or long-acting formulations that amplify cardiovascular stress
190,"27. Forensic, Ethics, and Legal Issues",149,39,110,A manic patient's impaired judgment and inability to reason through financial consequences suggests impaired capacity for complex financial decisions
231,18. Personality Disorders,190,80,110,"Personality disorders are inflexible, pervasive patterns with origins in temperament and developmental factors, require specialized treatment approaches, and treatment takes substantial time"
147,23. Psychotherapy and Non-Pharmacologic,172,63,109,Administration of general anesthesia and neuromuscular blocking agents (muscle relaxants) to prevent violent muscle contractions and allow controlled mechanical ventilation
304,16. Substance-Related Disorders,207,98,109,"Multimodal treatment combining FDA-approved pharmacotherapy with behavioral support (counseling, CBT) offers the highest quit rates and should be individualized based on patient preferences and comorbidities"
464,"27. Forensic, Ethics, and Legal Issues",179,70,109,"Understanding insanity standards, conducting thorough chart reviews, developing forensic-specific reports, and preparing for cross-examination with AAPL ethical guidelines in mind"
493,10. Somatic Symptom Disorders,172,63,109,"Recognize fibromyalgia as a real condition with identifiable neurobiological mechanisms involving central sensitization, and address both somatic and psychiatric dimensions"
963,22. Psychopharmacology,157,48,109,"Passive ideation (death wishes without plan/intent) is lower risk than active ideation (specific plan and intent), but both require assessment and monitoring"
992,22. Psychopharmacology,170,61,109,"ABA shows evidence for improving social communication, reducing repetitive behaviors, and enhancing adaptive skills; it is one of the most studied interventions in autism"
163,20. Medication-Induced Movement Disorders,149,41,108,"Serotonin Syndrome: rapid onset (hours to 24h) with hyperreflexia, tremor; NMS: gradual onset (24-72h), lead pipe rigidity, creatine kinase elevation"
245,8. Trauma- and Stressor-Related Disorders,171,64,107,"Grief is sadness related to loss with episodic intensity and gradual acceptance, while depression is persistent depressed mood with self-blame and global negative thinking"
316,22. Psychopharmacology,186,79,107,"Esketamine is more potent at NMDA receptor antagonism than racemic ketamine mixture, may have preferential antidepressant effects with less dissociation, and has FDA nasal spray approval"
149,23. Psychotherapy and Non-Pharmacologic,207,101,106,ECT induces transient heart rate and blood pressure elevation and may precipitate arrhythmias; baseline ECG and cardiology evaluation are necessary in patients with cardiac risk factors or arrhythmia history
277,1. Assessment Fundamentals,197,92,105,"Specific questions about mania symptoms (grandiosity, decreased need for sleep, racing thoughts, excessive spending) help identify bipolar disorder, while their absence suggests unipolar depression"
303,16. Substance-Related Disorders,179,74,105,"NRT provides nicotine without combustion toxins, allowing the brain's reward system to adjust gradually while avoiding relapse; it effectively reduces overall nicotine consumption"
153,24. Psychiatric Emergencies,201,97,104,Safety planning demonstrates moderate evidence for reducing attempts in outpatient settings but lacks mortality endpoint data; it must be paired with structured psychotherapy (DBT) for optimal outcomes
472,"27. Forensic, Ethics, and Legal Issues",166,62,104,"Understanding statutory requirements, landmark precedents, and specific state frameworks (like RCW 71 for Washington) is essential for ethical, legally compliant care"
503,26. Consultation-Liaison Psychiatry,160,56,104,"Fatigue is specifically defined as subjective exhaustion or reduced capacity for work disproportionate to exertion, distinct from simple sleepiness or tiredness"
991,22. Psychopharmacology,157,53,104,"Autism and intellectual disability are distinct; approximately 30-50% of autistic individuals have comorbid ID, while others have average or above-average IQ"
501,26. Consultation-Liaison Psychiatry,184,81,103,"Clarify the distinctions between physical fatigue, mental fatigue, and sleepiness; organize the differential diagnosis by physiologic system; and establish a rational testing hierarchy"
872,22. Psychopharmacology,171,68,103,Escitalopram's superior potency and pharmacokinetics may provide benefit in partial responders; switching is a standard evidence-based strategy when response is suboptimal
946,22. Psychopharmacology,164,61,103,Cardiac disease is no longer considered an absolute contraindication if patient is medically optimized; relative risk-benefit must be assessed with cardiology input
264,23. Psychotherapy and Non-Pharmacologic,188,86,102,"MI is effective because it honors client autonomy, addresses ambivalence about change through empathetic exploration, and builds intrinsic motivation rather than imposing external pressure"
463,"27. Forensic, Ethics, and Legal Issues",164,62,102,"Treating clinicians prioritize alliance and patient well-being; forensic experts prioritize objectivity and reaching truth, which may not serve the evaluated person"
771,9. Dissociative Disorders,183,81,102,The nervous system fails to reintegrate after severe childhood trauma; the 'phobic' part (avoiding reminders) and 'traumatic' part (re-enacting) persist as separate identity fragments
953,22. Psychopharmacology,178,76,102,Single-item screening has limited specificity; positive screens require comprehensive risk assessment with tools like C-SSRS to differentiate serious risk from transient ideation
358,22. Psychopharmacology,129,29,100,Clinical discoveries often precede understanding; serendipitous observations led to clinical utility before mechanisms understood
232,18. Personality Disorders,218,119,99,"Personality disorders represent enduring, inflexible trait patterns that influence presentation of other psychiatric conditions, require long-term treatment, and may limit response to standard psychiatric interventions"
247,8. Trauma- and Stressor-Related Disorders,174,75,99,"Normal grief involves sadness, yearning, and temporary functional disruption, while only complicated grief (prolonged, intense) with significant impairment requires treatment"
355,22. Psychopharmacology,119,20,99,Understanding tricyclic side effects and monoamine hypothesis; SSRIs selective serotonin reuptake reducing side effects
478,"27. Forensic, Ethics, and Legal Issues",165,66,99,"Surrogate decision-making requires understanding statutory hierarchies, patient autonomy principles, and clear clinical procedures to provide legally defensible care"
756,7. OCD and Related Disorders,168,69,99,Initiate intensive ERP psychotherapy immediately; combined pharmacotherapy and evidence-based psychotherapy maximize outcomes even in pharmacologically refractory cases
955,22. Psychopharmacology,159,60,99,"Means restriction (counseling on firearm safety, safe storage, temporary removal) reduces impulsive suicide risk, particularly in access to highly lethal means"
482,5. Depressive Disorders,143,45,98,"SAD prevalence increases with geographical latitude, with higher rates in northern regions (approximately 10% in Alaska versus 1-2% in Florida)"
772,9. Dissociative Disorders,190,92,98,"Excessive prefrontal dampening of limbic threat signals, producing emotional numbing and detachment—an adaptive avoidance response to inescapable threat that becomes maladaptive when chronic"
949,22. Psychopharmacology,165,67,98,"Psychosis often impairs judgment; formal capacity evaluation and involvement of surrogate decision-makers (healthcare proxy, family, ethics committee) is appropriate"
177,2. Neurodevelopmental Disorders,118,21,97,"2013 (DSM-5), combining Asperger Syndrome, PDD-NOS, and childhood disintegrative disorder under a single ASD diagnosis"
216,22. Psychopharmacology,172,75,97,"Clozapine requires gold-standard treatment-resistant indication, intensive monitoring for serious adverse effects, and careful dose titration to achieve therapeutic benefit"
475,"27. Forensic, Ethics, and Legal Issues",154,57,97,Every clinician will encounter incapacitated patients requiring surrogate authorization; knowing statutory hierarchy prevents legal and ethical violations
196,8. Trauma- and Stressor-Related Disorders,129,33,96,"Brief supportive psychotherapy, stress reduction, and addressing stressor when possible; medications if specific symptoms warrant"
223,3. Schizophrenia Spectrum,171,75,96,"With early intervention and appropriate treatment, some patients with first-break psychosis recover fully or achieve good functional outcomes, though prognosis is variable"
510,22. Psychopharmacology,147,51,96,"Psychiatrists must develop EKG literacy to understand cardiac effects of psychotropic medications, particularly QT prolongation and arrhythmia risk"
788,11. Feeding and Eating Disorders,156,60,96,"ARFID lacks body-image disturbance and weight concerns; restriction stems from sensory sensitivity or anxiety about consequences (choking), not shape/weight"
950,22. Psychopharmacology,152,56,96,"Seizure disorder is not a contraindication, but anticonvulsants lower seizure threshold for ECT; dose adjustment or temporary reduction may be necessary"
979,22. Psychopharmacology,141,45,96,"Atomoxetine (Strattera, selective norepinephrine reuptake inhibitor) and guanfacine (extended-release) are FDA-approved non-stimulant options"
76,6. Anxiety Disorders,150,55,95,Specific Phobia is circumscribed to a specific object/situation; Agoraphobia involves anxiety in multiple situations where escape/help seems difficult
252,23. Psychotherapy and Non-Pharmacologic,192,97,95,"Without structured approaches and skills training, patients with poor distress tolerance may worsen or drop out of treatment, while structured therapy can reduce self-harm and improve outcomes"
748,7. OCD and Related Disorders,164,69,95,"Benzodiazepines reduce anxiety below levels necessary for habituation in ERP, potentially impairing the learning that occurs during exposure and response prevention"
935,22. Psychopharmacology,158,63,95,"Triazolam impairs cognitive and psychomotor function, creating serious driving impairment risk even at normal doses; patients should not drive after taking it"
961,22. Psychopharmacology,177,82,95,"Command hallucinations plus weak resistance, recent psychiatric hospitalization, or planning indicate elevated risk; hospitalization and antipsychotic optimization are indicated"
64,11. Feeding and Eating Disorders,133,39,94,"Refeeding syndrome risk (severe hypophosphatemia and metabolic shifts), requiring careful caloric increase and electrolyte monitoring"
164,20. Medication-Induced Movement Disorders,120,26,94,"Stop offending antipsychotic immediately; supportive care, hydration, monitoring for complications (rhabdomyolysis, DIC)"
215,22. Psychopharmacology,182,88,94,"While clozapine carries significant risks, its superior efficacy in treatment-resistant schizophrenia justifies its use when other treatments have failed, with appropriate monitoring"
237,24. Psychiatric Emergencies,176,82,94,"Both require comprehensive assessment including safety, medical evaluation, and appropriate psychiatric/medical intervention, but specific interventions vary based on diagnosis"
470,"27. Forensic, Ethics, and Legal Issues",157,63,94,"To provide guidance on navigating involuntary commitment, forced medication, confidentiality exceptions, and duty to warn within ethical and legal frameworks"
487,5. Depressive Disorders,144,50,94,"Children frequently manifest irritability, behavioral dysregulation, and social withdrawal rather than anhedonia and fatigue prominent in adults"
778,11. Feeding and Eating Disorders,152,58,94,"Refeeding syndrome: shift from catabolism to anabolism causes intracellular shift of electrolytes, paradoxically lowering serum levels despite repletion"
1104,21. Other Conditions,148,54,94,"After a first injury, depression diagnosis, or chronic condition, premiums and exclusions can change dramatically or coverage may become unavailable"
156,24. Psychiatric Emergencies,173,80,93,"Screening without intervention infrastructure shows no benefit or paradoxically may show higher post-discharge suicide rates, potentially due to reactive depressive response"
181,2. Neurodevelopmental Disorders,127,34,93,"No medication specifically treats core autism symptoms; medications address co-occurring conditions (ADHD, anxiety, aggression)"
265,23. Psychotherapy and Non-Pharmacologic,148,55,93,"Engaging in valued activities despite low motivation can gradually improve mood and increase reinforcement, breaking the inactivity-depression cycle"
511,22. Psychopharmacology,135,42,93,"QT-prolonging agents carry higher risk for torsades de pointes and sudden cardiac death, requiring baseline and periodic EKG monitoring"
731,5. Depressive Disorders,155,62,93,"TMS shows ~40-50% response; advantages include no systemic side effects, cognitive benefits, and no seizure risk, though remission rates are lower than ECT"
986,22. Psychopharmacology,149,56,93,"Adjust timing (earlier dosing in day), reduce dose, or switch to non-stimulant; concurrent sleep hygiene and possibly brief sleep medication may help"
146,23. Psychotherapy and Non-Pharmacologic,155,63,92,ECT's rapid onset (often 2-4 sessions with response emerging within days) compared to antidepressants (weeks to months) reduces acute suicide risk exposure
171,2. Neurodevelopmental Disorders,121,29,92,"Improve functional impairment in work, relationships, and daily living through medication and/or behavioral interventions"
182,2. Neurodevelopmental Disorders,122,30,92,Applied Behavior Analysis (ABA) with individualized intensive therapy focusing on functional skills and behavior reduction
432,26. Consultation-Liaison Psychiatry,143,52,91,Chronic hyperglycemia causes oxidative stress and advanced glycation end products (AGEs) that damage brain tissue and promote neuroinflammation
740,6. Anxiety Disorders,144,53,91,"Imipramine and clomipramine demonstrate 60-70% efficacy in panic comparable to SSRIs, though side effects make SSRIs/SNRIs preferable first-line"
144,23. Psychotherapy and Non-Pharmacologic,158,68,90,"ECT-induced ictal activity and post-ictal neuroendocrine release (prolactin, ACTH), which may contribute to therapeutic effect independent of seizure duration"
148,23. Psychotherapy and Non-Pharmacologic,181,91,90,"Post-ECT cognitive effects (brief disorientation, transient amnesia) typically resolve within days; chronic antipsychotics and benzodiazepines can cause persistent cognitive dulling"
176,2. Neurodevelopmental Disorders,127,37,90,"Adults may develop compensatory strategies, hyperactivity may be less prominent, and symptoms may be attributed to other causes"
317,22. Psychopharmacology,162,72,90,Ketamine's rapid antidepressant onset (hours to days) addresses acute suicidality while avoiding traditional antidepressants that may destabilize bipolar patients
744,6. Anxiety Disorders,156,66,90,"Discontinuation syndrome occurs with abrupt SSRI cessation, characterized by dizziness, nausea, paresthesias, electric shock sensations, and rebound anxiety"
189,"27. Forensic, Ethics, and Legal Issues",125,36,89,Substituted judgment (deciding as the patient would if capable) or best interest standard (acting in patient's best interest)
494,10. Somatic Symptom Disorders,136,47,89,"Modern neuroscience demonstrates that psychosomatic conditions have genuine neurobiological bases, making the mind-body dualism obsolete"
753,7. OCD and Related Disorders,149,60,89,Continue the exposure; anxiety typically peaks within 30-90 minutes then naturally declines through habituation—premature escape reinforces avoidance
997,22. Psychopharmacology,152,63,89,"No, mandatory ANC monitoring is the singular safety requirement for clozapine; continuation without results is contraindicated and risks agranulocytosis"
238,24. Psychiatric Emergencies,167,79,88,"Danger assessment, safety planning, and appropriate disposition (inpatient vs. outpatient) require integration of risk factors, protective factors, and support systems"
273,1. Assessment Fundamentals,157,69,88,"Establishing therapeutic alliance through respectful engagement, explaining confidentiality, and using open questions to understand the patient's perspective"
714,4. Bipolar and Related Disorders,176,88,88,"Tremor, polyuria, and polydipsia are expected dose-dependent side effects; lithium has a narrow therapeutic window and requires regular monitoring of renal and thyroid function"
751,7. OCD and Related Disorders,139,51,88,"Imaginal exposure, where the patient describes feared scenarios in detail while listening to recordings repeatedly until anxiety habituates"
792,11. Feeding and Eating Disorders,182,94,88,"Purging-related medical complications (esophageal damage, dental erosion, severe electrolyte dysregulation) may be permanent even with successful behavioral/pharmacological treatment"
962,22. Psychopharmacology,133,45,88,Low to moderate risk; protective factors and situational stressor suggest good prognosis with outpatient support and crisis resources
1101,21. Other Conditions,149,61,88,Governmental 457(b) funds are held in trust and protected from employer creditors; non-governmental funds remain employer assets subject to creditors
228,18. Personality Disorders,170,83,87,Suicidal behavior reflects the emotional instability and fear of abandonment central to borderline pathology and requires proactive suicide risk assessment and management
292,16. Substance-Related Disorders,179,92,87,Cocaine causes short-lived euphoria and stimulation (minutes to hours) while methamphetamine causes sustained euphoria lasting hours to days with greater psychotomimetic potential
352,22. Psychopharmacology,105,18,87,"Individualized planning considering half-lives, serotonin syndrome risk, withdrawal with gradual tapering"
468,"27. Forensic, Ethics, and Legal Issues",163,76,87,"Unlike most medical specialties, psychiatry can treat without consent when patient's illness impairs capacity and creates danger, creating legal/ethical complexity"
480,"27. Forensic, Ethics, and Legal Issues",135,48,87,"Understand and follow the statutory framework for identifying and contacting appropriate surrogates, and document procedures thoroughly"
799,13. Sleep-Wake Disorders,158,71,87,Pathological changes in the suprachiasmatic nucleus disrupt circadian rhythm regulation; circadian desynchronization and reduced light cues impair entrainment
800,13. Sleep-Wake Disorders,164,77,87,"Paradoxical insomnia (sleep state misperception): inaccurate perception of wakefulness during sleep, possibly from microarousals or impaired metacognitive awareness"
803,13. Sleep-Wake Disorders,161,74,87,Combining SSRIs (sertraline) with SNRIs (venlafaxine) creates unnecessary polypharmacy and risks serotonin syndrome; use single first-line agent at adequate dose
169,2. Neurodevelopmental Disorders,123,37,86,Symptoms must have been present since childhood (before age 12) with evidence of functional impairment in multiple settings
275,1. Assessment Fundamentals,171,85,86,"The MSE provides objective observable data complementing the patient's subjective history, allowing assessment of cognition, emotional functioning, and thought disturbance"
598,21. Other Conditions,135,49,86,Mail-order offers cost savings and convenience for stable chronic patients; retail provides immediate access and pharmacist interaction
844,17. Neurocognitive Disorders,164,78,86,"Discontinue haloperidol immediately; continue aggressive sepsis management and consider neuroleptic malignant syndrome (NMS) treatment (cooling, fluids, dantrolene)"
230,18. Personality Disorders,152,67,85,Building alliance through empathy while gently exploring the impact of his behavior on relationships and addressing his need for control and superiority
299,16. Substance-Related Disorders,162,77,85,"Varenicline is a partial agonist at alpha-4-beta-2 nicotinic receptors, providing mild activation while blocking the stronger rewarding effects of smoked nicotine"
489,10. Somatic Symptom Disorders,144,59,85,"Conditions with genuine neurobiological underpinnings involving central sensitization, neuroplasticity, and dysregulation of the stress response"
940,22. Psychopharmacology,145,60,85,"ECT induces a controlled seizure, triggering neurobiological changes (altered neurotransmission, neuroplasticity, neurogenesis) that improve mood"
941,22. Psychopharmacology,150,65,85,"ECT has rapid onset (symptom improvement within days-weeks) and is highly effective in severe, treatment-resistant depression and psychotic depression"
942,22. Psychopharmacology,158,73,85,"Yes, transient cognitive effects (disorientation, anterograde amnesia) are common during active ECT; they typically resolve within days-weeks after completion"
33,7. OCD and Related Disorders,125,41,84,"Intrusions recognized as excessive/unreasonable, cause significant distress, consume substantial time, and impair functioning"
306,16. Substance-Related Disorders,163,79,84,"Synthetic cathinones are potent monoamine releasers and reuptake inhibitors, producing dopamine/norepinephrine effects that rival or exceed methamphetamine potency"
141,22. Psychopharmacology,141,58,83,"Reduced GABA-A receptors, increased glutamate signaling, and a new neurobiological set point requiring benzodiazepine presence to feel normal"
263,23. Psychotherapy and Non-Pharmacologic,147,64,83,"Gentle, empathetic exploration of the client's ambivalence about change, supporting autonomy while helping articulate reasons for changing behavior"
964,22. Psychopharmacology,148,65,83,Serotonin syndrome has rapid onset (hours-days) and typically faster resolution with drug discontinuation; NMS has slower onset and prolonged course
